neighbourhoodd,2015population,2015crimerate,2016population,2016crimerate,2016brightness,2017population,2017crimerate,2017brightness,2018_POP_EST,2018population,2018crimerate,2018brightness,2019population,crimerate,brightness,type,community,target
Hunt Club - Ottawa Airport,2955.383805,64.28945021,2948.134744,50.54043079,0,2941.203289,56.77948227,0,2940.534845,2940.534845,50.33097984,0,2940,52.38095238,0,risk,47,0
Hunt Club East - Western Community,11027.36587,19.5876334,11052.41218,20.35754696,0,11053.0402,16.73747644,37,11138.68774,11138.68774,22.08518686,1,11136.33709,20.11433366,1,safe,48,0
Hunt Club Park,8342.816972,14.62335808,8349.194915,12.57606285,0,8335.551511,18.11517808,0,8332.335597,8332.335597,16.3219542,0,8323.282643,18.86275004,0,safe,49,0
Hunt Club South Industrial,1119.732461,140.2120644,1121.304563,115.0445689,0,1120.300465,116.0402982,0,1115.811689,1115.811689,156.8365,0,1118.369187,128.7589123,0,highrisk,50,0
Hunt Club Upper -Blossom Park - Timbermill,7800.556452,20.89594518,7812.964841,24.70253021,1,7814.405433,24.31406991,0,7826.040734,7826.040734,22.74457878,0,7841.115442,22.31825323,1,safe,51,0
Hunt Club Woods - Quintarra - Revelstoke,6086.393297,22.34492472,6091.768288,22.65352086,0,6078.520599,19.57713198,0,6081.21002,6081.21002,24.66614366,0,6081.652794,46.69783193,0,less safe,52,0
Iris - Queensway Terrance South,6373.468421,31.53698845,6332.75889,36.16117461,0,6298.40898,32.54790228,0,6297.97742,6297.97742,31.7562269,0,6301.686198,32.68966329,0,less safe,927,0
Island Park - Wellington Village,5734.626785,24.06433848,5751.368781,30.60141102,0,5762.412422,28.46030238,0,5766.645324,5766.645324,26.8787122,0,5806.136449,33.06846157,0,less safe,54,0
Kanata Lakes - Arcardia,15961.91123,19.23328577,17096.82482,24.27351302,14,17557.5946,23.75040599,38,17962.89626,17962.89626,22.88049734,31,18623.29427,22.33761621,37,safe,55,0
Kanata-Katimavik - Hazeldean,12487.81412,20.25975063,12407.00872,23.77688343,2,12344.01916,18.63250511,508,12290.81493,12290.81493,20.09630781,59,12236.64184,23.53586905,44,safe,928,0
Kinburn,2070.62033,9.175994134,2063.998319,9.205433855,0,2066.514587,6.774692077,0,2064.54718,2064.54718,12.59356059,19,2072.498774,6.272621322,5,risk,929,0
Laurentian,10080.63536,29.26402845,10389.54943,33.39894597,0,10415.40121,33.31604737,0,10467.10995,10467.10995,36.59080699,0,10449.31623,36.36601588,0,less safe,930,0
Lebreton Development,678.0404683,76.69158765,673.1876993,53.47691295,0,671.4821537,105.7362427,0,668.6526756,668.6526756,136.0945724,0,661.1707614,72.59849165,0,risk,931,0
Ledbury - Heron Gate - Ridgemont,13703.10628,40.93962263,13511.04389,36.78472249,0,13483.88545,35.74637309,12,13483.95384,13483.95384,39.38014075,0,13090.42282,39.57091434,7,less safe,60,0
Lindenlea - New Edinburgh,4786.96084,23.6057916,4758.400319,21.64592996,0,5013.649794,24.33357036,4,4943.627277,4943.627277,33.78086386,0,4990.910192,38.67030112,0,less safe,932,0
Lowertown,7356.192758,77.21385487,7335.856524,91.46852829,0,7372.943093,116.2358083,0,7354.675117,7354.675117,128.761636,0,7298.008068,173.0609213,0,highrisk,933,0
Manor Park,3256.807193,72.77065726,3249.453258,66.78046513,0,3262.923514,62.52061966,0,3227.739329,3227.739329,61.34324362,0,3250.615509,64.60314959,0,risk,934,0
Manotick,10859.99668,12.15469985,11377.91176,12.3045426,0,12373.80754,12.36482784,50,12851.63104,12851.63104,14.31724887,1,12989.3085,12.77974112,0,safe,935,0
Marlborough,2053.006594,10.71599091,2063.302448,9.208538486,0,2052.546113,11.20559478,0,2065.822532,2065.822532,14.03799192,0,2077.442678,9.145860052,0,safe,64,0
Merivale Gardens - Grenfell Glen - Pineglen - Country Place,2845.043959,29.5250271,2835.209722,33.50722144,0,2830.113472,53.35475115,0,2836.078922,2836.078922,51.832126,0,2838.665628,41.56882686,0,less safe,85,0
Metcalfe,6386.751825,10.96018789,6399.292434,10.00110569,1,6424.745003,9.338892044,2,6416.670083,6416.670083,10.9090851,6,6416.53255,11.06516634,5,safe,65,0
Munster - Ashton,4922.85412,6.906562569,4928.053679,7.710954969,0,4951.790946,7.875938307,1,4966.20857,4966.20857,10.47076442,0,4996.615072,8.005419554,0,safe,66,0
Navan - Sarsfield,4027.700358,16.6348025,4245.247471,18.37348719,37,4933.885952,18.64655991,22,5445.801522,5445.801522,15.97560977,12,5797.117882,19.14744572,52,safe,67,0
North Gower - Kars,5382.432549,15.42053695,5362.093675,9.51121019,0,5375.229011,10.60419935,3,5373.29908,5373.29908,14.14401076,0,5396.466099,13.52737118,0,safe,936,0
