2015population,2015crimerate,2016population,2016crimerate,2016brightness,2017population,2017crimerate,2017brightness,2018_POP_EST,2018population,2018crimerate,2018brightness,2019population,2019crimerate,2019brightness,target,community
4986.83,22.66,5001.34,23.59,1,4994.42,20.42,,4996.04,12875.95,22.02,1,5002.58,18.79,9,1,944
14441.35,13.23,14886.48,11.22,0,15721.66,13.55,112,16911.28,4996.04,12.6,0,18170.1,18.99,5,1,945
3098,64.56,3098,80.37,0,3098,57.13,0,3098,16911.28,61.01,0,3105.01,70.21,0,3,90
1798.82,30.58,1803.16,17.75,0,1815.68,23.68,1,1809.13,3098,23.77,0,1818.63,47.29,0,2,946
10420.26,19.87,10437.75,17.25,0,10438.36,22.9,7,10393.75,1809.13,18.47,0,10442.77,19.92,1,1,947
16179.15,81.09,16716.67,90.57,0,16926.29,110.07,5,17355.69,10393.75,130.04,0,17275.54,127.35,0,4,948
5935.95,35.38,5914.65,40.07,0,5829.51,44.77,0,5820.27,17355.69,42.78,0,5834.81,51.07,0,3,93
4666.6,93.64,4666.87,72.21,0,4847.76,60.03,1,4843.16,5820.27,88.17,0,4837.4,94.27,0,3,949
32024.51,17.36,33012.36,17.24,3,34067.94,14.35,242,37579.14,4843.16,14.8,79,41575.23,16.33,36,1,950
15744.87,12.58,16283.39,10.38,0,17153.85,10.61,0,18316.75,37579.14,15.4,0,19372.33,15.54,0,1,97
5530.09,21.52,5507.81,22.7,0,5506.06,25.24,0,5505.97,18316.75,26.7,0,5499.19,27.46,0,1,951
4926.07,11.37,4878.15,14.55,0,4845.6,13.41,0,4818.92,5505.97,18.05,0,4806.18,16.65,0,1,952
11488.27,47.79,11500.78,50.95,0,11695.95,51.13,33,11591.6,4818.92,62.8,0,11936.54,72.8,1,3,99
7396.43,77.61,7407.65,89.5,0,7421.27,99.44,10,7351.66,11591.6,97.12,0,7657.06,115.19,0,4,100
2897.83,11.73,2904.88,19.28,4,2937.73,14.3,0,2948.88,7351.66,16.62,0,2963.43,17.21,0,1,953
3527.83,10.2,3514.69,18.21,7,3698.12,11.09,14,4036.64,2948.88,13.38,52,4260.19,14.79,64,1,954
12188.95,63.5,12410.11,74.78,0,12542.33,79.57,0,12478.36,4036.64,77.41,0,12992.33,82.05,0,3,955
13543.11,36.7,13886.72,42.92,0,13964.48246,44.61,0,14112.02,12478.36,57.61,0,14228.9,70.98,0,3,956
12509.88,25.42,12495.79,28.09,0,12540.6,27.27,1,12588.47,14112.02,32.17,0,12603.69,37.05,0,2,957
8180.71,17.6,8103.45,23.2,0,8145.54,16.94,0,8113.7,12588.47,25.88,0,8103.64,21.72,0,1,958
