,Pole ID,Install Pole Date,Install Light Date and Time,Install Light Date,Street Light installed month,Street Light installed year,Street Light installed month and year,Head Style,Refractor,Light Type,Bracket Length,Pole Height,Pole Type,Number of Lights,Light Source,Wattage,Year 1 LE,Street Name,Neighbourhood
929,133600G,2015/01/19 00:00:00+00,2019/01/10 00:00:00+00,1/10/2019,January,2019,18-Nov,GC296G, , ,2.4,11.2,ALUMINUM,1,LED,310,223,PALLADIUM DRIVE,Kanata
930,15436392,2011/07/01 00:00:00+00,2017/06/21 00:00:00+00,6/21/2017,June,2017,20-May,GCL160G, ,SL,2.4,9.8,ALUMINUM,1,LED,135,85,TERRY FOX DRIVE,Stittsville - Basswood
931,2056213,2011/07/01 00:00:00+00,2017/10/11 00:00:00+00,10/11/2017,October,2017,20-May,LGCL-2, ,SL,2.4,9.8,ALUMINUM,1,LED,68,61,KANATA AVENUE,Stittsville - Basswood
932,2056472,2013/11/01 00:00:00+00,2017/10/12 00:00:00+00,10/12/2017,October,2017,18-Nov,LGCL-2, ,SL,2.4,9.8,ALUMINUM,1,LED,68,43,KANATA AVENUE,Kanata-Katimavik-Hazeldean
933,11418043,2007/07/01 00:00:00+00,2017/10/10 00:00:00+00,10/10/2017,October,2017,18-Nov,A01, ,SL,1.8,9.1,HAMPTON,1,LED,64,34,STREAMSIDE  CRESCENT,Kanata
934,11659394,2010/10/01 00:00:00+00,2017/05/24 00:00:00+00,5/24/2017,May,2017,20-May,GCM240H, ,SL,2.4,0,WOOD,1,LED,138,75,MARCH ROAD,Stittsville
935,131555G,,2017/11/27 00:00:00+00,11/27/2017,November,2017,18-Nov,A01, , ,1.8,9.1,HAMPTON,0,LED,64,46,MCPEAKE PLACE,Kanata
936,2072694,2013/11/01 00:00:00+00,2017/10/12 00:00:00+00,10/12/2017,October,2017,20-May,LGCL-2, ,SL,2.4,9.8,ALUMINUM,1,LED,68,43,KANATA AVENUE,Kanata
937,12971661,2011/08/01 00:00:00+00,2017/10/11 00:00:00+00,10/11/2017,October,2017,20-May,A01, ,SL,2.4,9.1,HAMPTON,1,LED,64,34,HUNTSVILLE DRIVE,Kanata
938,2068919,,2018/12/11 00:00:00+00,12/11/2018,December,2018,18-Nov,GCJ220H 3K, ,SL,1.8,0,WOOD,1,LED,68,49,MCCOOEYE LANE,Kanata-Katimavik-Hazeldean
939,0,2011/12/01 00:00:00+00,2017/10/16 00:00:00+00,10/16/2017,October,2017,18-Nov,GCL160G, ,SL,3,0,WOOD,1,LED,135,85,GOULBOURN FORCED ROAD,Kanata-Katimavik-Hazeldean
940,11417999,2007/07/01 00:00:00+00,2017/10/04 00:00:00+00,10/4/2017,October,2017,20-May,A01, ,SL,1.8,9.1,HAMPTON,1,LED,64,57,MAXWELL BRIDGE ROAD,Stittsville - Basswood
941,11418172,2007/07/01 00:00:00+00,2017/10/10 00:00:00+00,10/10/2017,October,2017,18-Nov,A01, ,SL,1.8,9.1,HAMPTON,1,LED,64,34,GLENBRAE AVENUE,Kanata
942,15436382,2017/01/02 00:00:00+00,2017/06/21 00:00:00+00,6/21/2017,June,2017,20-May,GCL160G, ,SL,2.4,9.8,ALUMINUM,1,LED,135,73,TERRY FOX DRIVE,Stittsville - Basswood
943,0,,2017/10/16 00:00:00+00,10/16/2017,October,2017,18-Nov,GCL160G, ,SL,2.4,9.8,ALUMINUM,1,LED,135,122,KEYROCK DRIVE,Kanata-Katimavik-Hazeldean
944,0,,2017/10/12 00:00:00+00,10/12/2017,October,2017,18-Nov,GCL160G, ,SL,2.4,9.8,ALUMINUM,1,LED,135,85,KANATA AVENUE,Kanata-Katimavik-Hazeldean
945,0,2011/12/01 00:00:00+00,2017/10/16 00:00:00+00,10/16/2017,October,2017,18-Nov,GCL160G, ,SL,3,0,WOOD,1,LED,135,85,GOULBOURN FORCED ROAD,Kanata
946,0,,2017/10/12 00:00:00+00,10/12/2017,October,2017,18-Nov,GCL160G, ,SL,2.4,9.8,ALUMINUM,1,LED,135,97,KANATA AVENUE,Kanata
947,11418187,2007/07/01 00:00:00+00,2017/10/04 00:00:00+00,10/4/2017,October,2017,17-Feb,A01, ,SL,1.8,9.1,HAMPTON,1,LED,64,34,CELTIC RIDGE CRESCENT,Kanata-Katimavik-Hazeldean
948,0,2011/12/01 00:00:00+00,2017/10/16 00:00:00+00,10/16/2017,October,2017,16-Sep,GCL160G, ,SL,3,0,WOOD,1,LED,135,73,GOULBOURN FORCED ROAD,Kanata-Katimavik-Hazeldean
