year,light_type,Bracket Length,Pole Height,Pole Type,light_number,Light Source,wattage,Street Name,neighbourhood
2017,SL,1.8,9.1,HAMPTON,1,LED,64,PENRITH STREET,Kanata-lakes
2018,SL,1.4,9.1,HAMPTON,1,LED,55,EAGLE CREST HEIGHTS,Stittsville
2017,SL,2.4,0,WOOD,1,LED,64,OLD CARP ROAD,Kanata-Katimavik-Hazeldean
2018,SL,1.4,9.1,HAMPTON,1,LED,35,EAGLEHEAD CRESCENT,Navan - Sarsfield
2018,SL,1.4,9.1,HAMPTON,1,LED,55,HAWKS LANDING CRESCENT,Stittsville
2017,SL,1.8,9.1,HAMPTON,1,LED,64,STATEWOOD DRIVE,Kanata-Katimavik-Hazeldean
2019,SL,1.8,11.2,ALUMINUM,1,LED,186,PALLADIUM DRIVE,Kanata-Katimavik-Hazeldean
2017,SL,1.8,9.1,HAMPTON,1,LED,64,BEAM STREET,Kanata-Katimavik-Hazeldean
2017,SL,1.8,11.7,ALUMINUM,1,LED,135,MARCH ROAD,Kanata
2017,SL,1.8,11.7,ALUMINUM,1,LED,135,MARCH ROAD,Kanata
2017,SL,2.4,11.2,ALUMINUM,1,LED,138,MARCH ROAD,Kanata
2017,SL,1.8,9.1,HAMPTON,1,LED,64,WOLISTON CRESCENT,Kanata-Katimavik-Hazeldean
2018,SL,1.4,9.1,HAMPTON,1,LED,80,KIMPTON DRIVE,Stittsville
2018,SL,1.4,9.1,HAMPTON,1,LED,80,KIMPTON DRIVE,Stittsville
2017,SL,1.8,9.1,HAMPTON,1,LED,64,BRECKENBRIDGE CRESCENT,Kanata-Katimavik-Hazeldean
2017,SL,1.8,9.1,HAMPTON,1,LED,64,FORESTBROOK STREET,Kanata-Katimavik-Hazeldean
2017,SL,1.8,9.1,HAMPTON,1,LED,64,ROY ERRINGTON WAY,Kanata-Katimavik-Hazeldean
2017,SL,1.8,9.1,HAMPTON,1,LED,64,WHERNSIDE TERRACE,Kanata-lakes
2017,SL,1.8,9.1,HAMPTON,1,LED,64,FINLAYSON CRESCENT,Kanata-lakes
2017,SL,1.8,9.1,HAMPTON,1,LED,64,GOWARD DRIVE,Kanata-lakes
2017,SL,1.8,9.1,HAMPTON,1,LED,64,ROY ERRINGTON WAY,Kanata-Katimavik-Hazeldean
2017,SL,2.4,9.8,ALUMINUM,1,LED,135,TERRY FOX DRIVE,Kanata-Katimavik-Hazeldean
2017,SL,1.8,9.1,HAMPTON,1,LED,64,WHERNSIDE TERRACE,Kanata-lakes
2017,SL,1.8,9.1,HAMPTON,1,LED,64,FINLAYSON CRESCENT,Kanata-lakes
2017,SL,1.8,9.1,HAMPTON,1,LED,64,FINLAYSON CRESCENT,Kanata-lakes
2019,SL,1.8,0,WOOD,1,LED,46,LLOYDALEX CRESCENT,Stittsville
2017,SL,2.4,9.8,ALUMINUM,1,LED,135,TERRY FOX DRIVE,Kanata-Katimavik-Hazeldean
2017,SL,1.8,9.1,HAMPTON,1,LED,64,WHERNSIDE TERRACE,Kanata-lakes
2017,SL,1.8,9.1,HAMPTON,1,LED,64,GOWARD DRIVE,Kanata-lakes
2017,SL,1.8,9.1,HAMPTON,1,LED,64,WHERNSIDE TERRACE,Kanata-lakes
2018,SL,1.4,9.1,HAMPTON,1,LED,55,SAMANTHA EASTOP AVENUE,Stittsville - Basswood
2018,SL,1.4,9.1,MADISON,1,LED,55,GABRIOLA WAY,Kanata-Katimavik-Hazeldean
2017,SL,1.8,9.1,HAMPTON,1,LED,64,FORESTBROOK STREET,Kanata-Katimavik-Hazeldean
2017,SL,2.4,10.7,NEWPORT,1,LED,92,BRADY AVENUE,Kanata-Katimavik-Hazeldean
2017,SL,1.8,9.1,HAMPTON,1,LED,64,HUNTERBROOK STREET,Billings Bridge - Alta Vista
2017,SL,2.4,9.8,ALUMINUM,1,LED,135,TERRY FOX DRIVE,Kanata-Katimavik-Hazeldean
2018,SL,1.4,9.1,HAMPTON,1,LED,35,DISCOVERY CRESECENT,Stittsville
2017,SL,1.8,10.6,NEWPORT,1,LED,92,HALTON TERRACE,Kanata-Beaverbrook
2017,SL,1.8,9.1,HAMPTON,1,LED,64,STATEWOOD DRIVE,Kanata-Katimavik-Hazeldean
2017,SL,1.8,9.1,HAMPTON,1,LED,64,STATEWOOD DRIVE,Kanata-Katimavik-Hazeldean
2017,SL,1.8,9.1,HAMPTON,1,LED,64,PENRITH STREET,Kanata-lakes
2017,SL,2.4,10.7,NEWPORT,1,LED,92,BRADY AVENUE,Kanata-Katimavik-Hazeldean
2017,SL,1.8,9.1,HAMPTON,1,LED,64,MALKOWSKI STREET,Kanata-Katimavik-Hazeldean
2018,SL,1.4,9.1,HAMPTON,1,LED,35,EAGLEHEAD CRESCENT,Navan - Sarsfield
2018,SL,1.4,9.1,MADISON,1,LED,55,BOUNDSTONE WAY,Kanata-Lakes
